City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,utiel,39.5667,-1.2,2.52,83,28,2.83,ES,1676141377
543,basoko,1.2391,23.616,29.4,36,87,0.4,CD,1676141377
544,la macarena,2.1837,-73.7849,32.21,41,96,2.5,CO,1676141377
545,yuncheng,35.0231,110.9928,3.04,97,100,1.0,CN,1676141378
546,ranfurly,-45.1333,170.1,11.64,84,100,0.85,NZ,1676141378
547,alofi,-19.0595,-169.9187,25.94,94,100,2.06,NU,1676141379
548,barnala,30.3833,75.55,10.3,29,0,3.08,IN,1676141126
549,hamilton,39.1834,-84.5333,7.16,47,0,1.34,US,1676141046
550,san ramon,37.7799,-121.978,10.04,84,100,7.2,US,1676141137
551,wanaka,-44.7,169.15,12.28,77,64,0.45,NZ,1676141377
552,pangnirtung,66.1451,-65.7125,-32.0,98,20,1.03,CA,1676141379
553,meulaboh,4.1363,96.1285,24.1,88,96,2.2,ID,1676141379
554,tromso,69.6496,18.957,-0.99,86,75,3.6,NO,1676141380
555,vung tau,10.346,107.0843,25.13,83,65,6.71,VN,1676141380
556,bestobe,52.4994,73.0975,-24.41,100,94,1.94,KZ,1676141380
557,ketchikan,55.3422,-131.6461,6.26,87,100,8.75,US,1676141381
558,matagami,49.7502,-77.6328,-8.94,73,75,8.23,CA,1676141381
559,gonen,40.1049,27.654,3.98,86,86,2.06,TR,1676141381
560,villazon,-22.0866,-65.5942,18.33,38,88,4.28,BO,1676141382
561,rocha,-34.4833,-54.3333,33.64,32,4,6.39,UY,1676141382
562,saint-honore,48.5334,-71.0824,-9.86,59,36,1.54,CA,1676141382
563,homer,59.6425,-151.5483,-2.33,88,100,3.58,US,1676141383
564,tiksi,71.6872,128.8694,-39.48,99,66,1.78,RU,1676141383
565,abaete,-19.16,-45.4458,28.02,58,100,1.41,BR,1676141383
566,dunedin,-45.8742,170.5036,16.0,85,100,2.28,NZ,1676141384
567,grindavik,63.8424,-22.4338,2.26,69,75,21.09,IS,1676141384
568,cortez,37.3489,-108.5859,9.28,40,0,1.54,US,1676141097
569,netanya,32.3329,34.8599,11.79,57,11,4.49,IL,1676141384
570,kilindoni,-7.9139,39.6668,27.41,78,35,6.68,TZ,1676141385
571,lasa,46.6166,10.7002,6.49,84,93,2.69,IT,1676141385
572,vrangel,42.7297,133.0839,-2.24,91,100,2.81,RU,1676141385
573,najran,17.4924,44.1277,23.36,24,1,0.31,SA,1676141323
574,korostyshiv,50.3172,29.0563,-0.23,96,100,7.06,UA,1676141386
575,kombissiri,12.0656,-1.3375,34.99,9,0,3.64,BF,1676141386
